sets,release_year,num_parts,media_franchise,inception,original_medium,revenue
Quinjet Aerial Battle,2012,751,Avengers,1963,Comic book,14.3
Spider-Man's Doc Ock Ambush,2012,296,Spider-Man,1962,Comic book,25.4
X-wing Fighter,2004,41,Star Wars,1977,Film,46.7
X-wing Fighter,2004,41,Star Wars,1977,Film,46.7
Boba Fett's Slave I - Mini (Kabaya Box),2004,25,Star Wars,1977,Film,46.7
Boba Fett's Slave I - Mini (Polybag),2004,25,Star Wars,1977,Film,46.7
TIE Interceptor,2004,32,Star Wars,1977,Film,46.7
TIE Interceptor,2005,32,Star Wars,1977,Film,46.7
Jedi Starfighter - Mini,2005,38,Star Wars,1977,Film,46.7
Jedi Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,38,Star Wars,1977,Film,46.7
ARC-170 Starfighter - Mini,2005,42,Star Wars,1977,Film,46.7
ARC-170 Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,42,Star Wars,1977,Film,46.7
Mini Wookiee Attack,2005,48,Star Wars,1977,Film,46.7
The Joker Balloon Escape,2017,124,Batman,1939,Comic book,29.6
Mr. Freeze Ice Attack,2017,201,Batman,1939,Comic book,29.6
Catwoman Catcycle Chase,2017,139,Batman,1939,Comic book,29.6
The Riddler Riddle Racer,2017,254,Batman,1939,Comic book,29.6
Clayface Splat Attack,2017,448,Batman,1939,Comic book,29.6
The Batmobile,2017,581,Batman,1939,Comic book,29.6
The Joker Notorious Lowrider,2017,433,Batman,1939,Comic book,29.6
Killer Croc Tail-Gator,2017,460,Batman,1939,Comic book,29.6
The Scuttler,2017,775,Batman,1939,Comic book,29.6
Batcave Break-in,2017,1047,Batman,1939,Comic book,29.6
Scarecrow Special Delivery,2017,203,Batman,1939,Comic book,29.6
The Penguin Arctic Roller,2017,305,Batman,1939,Comic book,29.6
Arkham Asylum,2017,1628,Batman,1939,Comic book,29.6
Scarecrow Fearful Face-off,2017,141,Batman,1939,Comic book,29.6
Bane Toxic Truck Attack,2017,366,Batman,1939,Comic book,29.6
Two-Face Double Demolition,2017,564,Batman,1939,Comic book,29.6
The Batwing,2017,1053,Batman,1939,Comic book,29.6
The Ultimate Batmobile,2017,1456,Batman,1939,Comic book,29.6
The Bat-Dune Buggy,2018,198,Batman,1939,Comic book,29.6
The Justice League Anniversary Party,2018,268,Batman,1939,Comic book,29.6
Egghead Mech Food Fight,2018,293,Batman,1939,Comic book,29.6
Harley Quinn Cannonball Attack,2018,425,Batman,1939,Comic book,29.6
The Joker Manor,2017,3445,Batman,1939,Comic book,29.6
The Bat-Space Shuttle,2018,643,Batman,1939,Comic book,29.6
The Simpsons Series 1 - Random Bag,2014,0,The Simpsons,1987,Animated series,4.9
Homer Simpson,2014,6,The Simpsons,1987,Animated series,4.9
Ralph Wiggum,2014,5,The Simpsons,1987,Animated series,4.9
Apu Nahasapeemapetilon,2014,5,The Simpsons,1987,Animated series,4.9
Nelson Muntz,2014,5,The Simpsons,1987,Animated series,4.9
Itchy,2014,5,The Simpsons,1987,Animated series,4.9
Scratchy,2014,6,The Simpsons,1987,Animated series,4.9
Chief Wiggum,2014,6,The Simpsons,1987,Animated series,4.9
Mr. Burns,2014,6,The Simpsons,1987,Animated series,4.9
The Simpsons Series 1 - Complete - All Sets,2014,0,The Simpsons,1987,Animated series,4.9
Bart Simpson,2014,7,The Simpsons,1987,Animated series,4.9
Marge Simpson,2014,7,The Simpsons,1987,Animated series,4.9
Lisa Simpson,2014,6,The Simpsons,1987,Animated series,4.9
Maggie Simpson,2014,4,The Simpsons,1987,Animated series,4.9
Grampa Simpson,2014,5,The Simpsons,1987,Animated series,4.9
Ned Flanders,2014,6,The Simpsons,1987,Animated series,4.9
Krusty the Clown,2014,5,The Simpsons,1987,Animated series,4.9
Milhouse Van Houten,2014,5,The Simpsons,1987,Animated series,4.9
The Simpsons Series 2 - Random Bag,2015,0,The Simpsons,1987,Animated series,4.9
Homer,2015,5,The Simpsons,1987,Animated series,4.9
Hans Moleman,2015,5,The Simpsons,1987,Animated series,4.9
Selma,2015,6,The Simpsons,1987,Animated series,4.9
Patty,2015,6,The Simpsons,1987,Animated series,4.9
Groundskeeper Willie,2015,5,The Simpsons,1987,Animated series,4.9
Edna Krabappel,2015,7,The Simpsons,1987,Animated series,4.9
Smithers,2015,6,The Simpsons,1987,Animated series,4.9
Dr Hibbert,2015,5,The Simpsons,1987,Animated series,4.9
The Simpsons Series 2 - Complete - All Sets,2015,0,The Simpsons,1987,Animated series,4.9
Marge,2015,10,The Simpsons,1987,Animated series,4.9
Lisa,2015,6,The Simpsons,1987,Animated series,4.9
Maggie,2015,4,The Simpsons,1987,Animated series,4.9
Bart,2015,6,The Simpsons,1987,Animated series,4.9
Milhouse,2015,6,The Simpsons,1987,Animated series,4.9
Comic Book Guy,2015,6,The Simpsons,1987,Animated series,4.9
Martin,2015,5,The Simpsons,1987,Animated series,4.9
Professor Frink,2015,5,The Simpsons,1987,Animated series,4.9
Lightsaber Duel,1999,52,Star Wars,1977,Film,46.7
The LEGO Batman Movie Series 1 - Random Bag,2017,0,Batman,1939,Comic book,29.6
Lobster-Lovin' Batman,2017,7,Batman,1939,Comic book,29.6
Pink Power Batgirl,2017,8,Batman,1939,Comic book,29.6
Red Hood,2017,9,Batman,1939,Comic book,29.6
The Eraser,2017,6,Batman,1939,Comic book,29.6
Nurse Harley Quinn,2017,7,Batman,1939,Comic book,29.6
Orca,2017,5,Batman,1939,Comic book,29.6
Zodiac Master,2017,6,Batman,1939,Comic book,29.6
Catman,2017,9,Batman,1939,Comic book,29.6
March Harriet,2017,6,Batman,1939,Comic book,29.6
The Calculator,2017,8,Batman,1939,Comic book,29.6
King Tut,2017,8,Batman,1939,Comic book,29.6
Glam Metal Batman,2017,8,Batman,1939,Comic book,29.6
The Mime,2017,7,Batman,1939,Comic book,29.6
The LEGO Batman Movie Series 1 - Complete - All Sets,2017,0,Batman,1939,Comic book,29.6
Fairy Batman,2017,8,Batman,1939,Comic book,29.6
Clan of the Cave Batman,2017,7,Batman,1939,Comic book,29.6
Vacation Batman,2017,8,Batman,1939,Comic book,29.6
Barbara Gordon,2017,8,Batman,1939,Comic book,29.6
Commissioner Gordon,2017,7,Batman,1939,Comic book,29.6
The Joker – Arkham Asylum,2017,6,Batman,1939,Comic book,29.6
Dick Grayson,2017,7,Batman,1939,Comic book,29.6
The LEGO Batman Movie Series 2 - Random Bag,2018,0,Batman,1939,Comic book,29.6
Disco Harley Quinn,2018,8,Batman,1939,Comic book,29.6
Vacation Alfred,2018,8,Batman,1939,Comic book,29.6
Bat-Merch Batgirl,2018,9,Batman,1939,Comic book,29.6
Killer Moth,2018,7,Batman,1939,Comic book,29.6
Wonder Twin Jayna,2018,8,Batman,1939,Comic book,29.6
Wonder Twin Zan,2018,9,Batman,1939,Comic book,29.6
Apache Chief,2018,6,Batman,1939,Comic book,29.6
Jor-El,2018,8,Batman,1939,Comic book,29.6
General Zod,2018,6,Batman,1939,Comic book,29.6
Doctor Phosphorus,2018,6,Batman,1939,Comic book,29.6
Black Canary,2018,9,Batman,1939,Comic book,29.6
Disco Alfred,2018,8,Batman,1939,Comic book,29.6
Black Vulcan,2018,7,Batman,1939,Comic book,29.6
The LEGO Batman Movie Series 2 - Complete - All Sets,2018,0,Batman,1939,Comic book,29.6
Clock King,2018,7,Batman,1939,Comic book,29.6
Hugo Strange,2018,7,Batman,1939,Comic book,29.6
Mermaid Batman,2018,6,Batman,1939,Comic book,29.6
Swimsuit Batman,2018,7,Batman,1939,Comic book,29.6
Vacation Joker,2018,9,Batman,1939,Comic book,29.6
Vacation Robin,2018,8,Batman,1939,Comic book,29.6
Vacation Batgirl,2018,8,Batman,1939,Comic book,29.6
DC Comics Super Heroes - Random Bag,2020,0,DC Comics,2013,Film,7.76
Mister Miracle,2020,10,DC Comics,2013,Film,7.76
Batman,2020,10,DC Comics,2013,Film,7.76
Huntress,2020,10,DC Comics,2013,Film,7.76
Metamorpho,2020,7,DC Comics,2013,Film,7.76
Joker,2020,11,DC Comics,2013,Film,7.76
Bumblebee,2020,10,DC Comics,2013,Film,7.76
The Flash,2020,10,DC Comics,2013,Film,7.76
Bat-Mite,2020,9,DC Comics,2013,Film,7.76
DC Comics Super Heroes - Complete - All Sets,2020,0,DC Comics,2013,Film,7.76
DC Comics Super Heroes - Sealed Box,2020,0,DC Comics,2013,Film,7.76
Wonder Woman,2020,9,DC Comics,2013,Film,7.76
Aquaman,2020,8,DC Comics,2013,Film,7.76
Stargirl,2020,9,DC Comics,2013,Film,7.76
Sinestro,2020,10,DC Comics,2013,Film,7.76
Cheetah,2020,9,DC Comics,2013,Film,7.76
Superman,2020,9,DC Comics,2013,Film,7.76
Green Lantern,2020,9,DC Comics,2013,Film,7.76
Cyborg,2020,8,DC Comics,2013,Film,7.76
Looney Tunes - Random Bag,2021,0,Looney Tunes,1930,Animated cartoon,15.9
Lola Bunny,2021,5,Looney Tunes,1930,Animated cartoon,15.9
Marvin the Martian,2021,7,Looney Tunes,1930,Animated cartoon,15.9
Petunia Pig,2021,7,Looney Tunes,1930,Animated cartoon,15.9
Porky Pig,2021,8,Looney Tunes,1930,Animated cartoon,15.9
Looney Tunes - Complete - All Sets,2021,0,Looney Tunes,1930,Animated cartoon,15.9
Looney Tunes - Sealed Box,2021,0,Looney Tunes,1930,Animated cartoon,15.9
Bugs Bunny,2021,6,Looney Tunes,1930,Animated cartoon,15.9
Wile E Coyote,2021,9,Looney Tunes,1930,Animated cartoon,15.9
Road Runner,2021,9,Looney Tunes,1930,Animated cartoon,15.9
Tweety,2021,10,Looney Tunes,1930,Animated cartoon,15.9
Sylvester,2021,6,Looney Tunes,1930,Animated cartoon,15.9
Daffy Duck,2021,7,Looney Tunes,1930,Animated cartoon,15.9
Speedy Gonzales,2021,8,Looney Tunes,1930,Animated cartoon,15.9
Taz the Tasmanian Devil,2021,9,Looney Tunes,1930,Animated cartoon,15.9
Jedi Duel,2002,82,Star Wars,1977,Film,46.7
Marvel Studios - Random Bag,2021,0,Marvel,2008,Film,32.2
The Scarlet Witch,2021,10,Marvel,2008,Film,32.2
Captain Carter,2021,10,Marvel,2008,Film,32.2
T'Challa Star-Lord,2021,10,Marvel,2008,Film,32.2
Gamora with Blade of Thanos,2021,10,Marvel,2008,Film,32.2
Marvel - Complete - All Sets,2021,0,Marvel,2008,Film,32.2
Marvel Studios - Sealed Box,2021,0,Marvel,2008,Film,32.2
The Vision,2021,10,Marvel,2008,Film,32.2
Monica Rambeau,2021,12,Marvel,2008,Film,32.2
Winter Soldier,2021,10,Marvel,2008,Film,32.2
Captain America,2021,12,Marvel,2008,Film,32.2
Loki,2021,9,Marvel,2008,Film,32.2
Sylvie,2021,9,Marvel,2008,Film,32.2
Zombie Hunter Spidey,2021,11,Marvel,2008,Film,32.2
Zombie Captain America,2021,8,Marvel,2008,Film,32.2
Muppets - Random Bag,2022,0,The Muppets,1955,Television series,7.72
Rowlf,2022,8,The Muppets,1955,Television series,7.72
Statler,2022,7,The Muppets,1955,Television series,7.72
Swedish Chef,2022,7,The Muppets,1955,Television series,7.72
Janice,2022,5,The Muppets,1955,Television series,7.72
Muppets - Complete - All Sets,2022,0,The Muppets,1955,Television series,7.72
Muppets - Sealed Box,2022,0,The Muppets,1955,Television series,7.72
Dr. Bunsen Honeydew,2022,5,The Muppets,1955,Television series,7.72
Beaker,2022,6,The Muppets,1955,Television series,7.72
The Great Gonzo,2022,5,The Muppets,1955,Television series,7.72
Kermit the Frog,2022,6,The Muppets,1955,Television series,7.72
Miss Piggy,2022,5,The Muppets,1955,Television series,7.72
Fozzie Bear,2022,9,The Muppets,1955,Television series,7.72
Animal,2022,16,The Muppets,1955,Television series,7.72
Waldorf,2022,7,The Muppets,1955,Television series,7.72
Muppets - 6 Pack,2022,0,The Muppets,1955,Television series,7.72
Marvel Series 2 - Random Box,2023,0,Marvel,2008,Film,32.2
Agatha Harkness,2023,13,Marvel,2008,Film,32.2
Beast,2023,13,Marvel,2008,Film,32.2
Storm,2023,11,Marvel,2008,Film,32.2
Wolverine,2023,11,Marvel,2008,Film,32.2
Marvel Series 2 - Complete - All Sets,2023,0,Marvel,2008,Film,32.2
Moon Knight,2023,10,Marvel,2008,Film,32.2
Mr. Knight,2023,11,Marvel,2008,Film,32.2
The Werewolf,2023,8,Marvel,2008,Film,32.2
She-Hulk,2023,9,Marvel,2008,Film,32.2
Hawkeye,2023,10,Marvel,2008,Film,32.2
Kate Bishop,2023,11,Marvel,2008,Film,32.2
Goliath,2023,9,Marvel,2008,Film,32.2
Echo,2023,10,Marvel,2008,Film,32.2
Desert Skiff,2000,55,Star Wars,1977,Film,46.7
Silent Mary,2017,2294,Pirates of the Caribbean,2003,Film,7.9
Hogwarts Castle,2018,6020,Harry Potter,1997,Novel,34.5
Droid Escape,2001,45,Star Wars,1977,Film,46.7
Landspeeder,1999,49,Star Wars,1977,Film,46.7
Droid Fighter,1999,62,Star Wars,1977,Film,46.7
Tusken Raider Encounter,2002,93,Star Wars,1977,Film,46.7
Gungan Patrol,2000,79,Star Wars,1977,Film,46.7
Twin-Pod Cloud Car,2002,118,Star Wars,1977,Film,46.7
Naboo Swamp,1999,82,Star Wars,1977,Film,46.7
Flash Speeder,2000,107,Star Wars,1977,Film,46.7
Hogwarts Express,2018,43,Harry Potter,1997,Novel,34.5
Battle Droid Carrier,2001,133,Star Wars,1977,Film,46.7
Imperial AT-ST,2001,107,Star Wars,1977,Film,46.7
Speeder Bikes,1999,93,Star Wars,1977,Film,46.7
Snowspeeder,1999,217,Star Wars,1977,Film,46.7
Anakin's Podracer,1999,136,Star Wars,1977,Film,46.7
Bounty Hunter Pursuit,2002,254,Star Wars,1977,Film,46.7
A-wing Fighter,2000,125,Star Wars,1977,Film,46.7
Adventures with Mario Starter Course,2020,231,Super Mario,1981,Video game,8.6
Character Pack Series 1 - Random Bag,2020,0,Super Mario,1981,Video game,8.6
Paragoomba,2020,25,Super Mario,1981,Video game,8.6
Peepa,2020,21,Super Mario,1981,Video game,8.6
Character Pack Series 1 - Complete Set,2020,146,Super Mario,1981,Video game,8.6
Fuzzy,2020,30,Super Mario,1981,Video game,8.6
Spiny,2020,20,Super Mario,1981,Video game,8.6
Buzzy Beetle,2020,16,Super Mario,1981,Video game,8.6
Bullet Bill,2020,25,Super Mario,1981,Video game,8.6
Bob-omb,2020,22,Super Mario,1981,Video game,8.6
Eep Cheep,2020,41,Super Mario,1981,Video game,8.6
Blooper,2020,21,Super Mario,1981,Video game,8.6
Urchin,2020,28,Super Mario,1981,Video game,8.6
Guarded Fortress Expansion Set,2020,468,Super Mario,1981,Video game,8.6
Desert Pokey Expansion Set,2020,181,Super Mario,1981,Video game,8.6
Whomp's Lava Trouble Expansion Set,2020,133,Super Mario,1981,Video game,8.6
Piranha Plant Power Slide Expansion Set,2020,217,Super Mario,1981,Video game,8.6
Boomer Bill Barrage Expansion Set,2020,132,Super Mario,1981,Video game,8.6
Mario's House & Yoshi Expansion Set,2020,206,Super Mario,1981,Video game,8.6
Toad's Treasure Hunt Expansion Set,2020,465,Super Mario,1981,Video game,8.6
Bowser's Castle Boss Battle Expansion Set,2020,1010,Super Mario,1981,Video game,8.6
Fire Mario Power-Up Pack,2020,11,Super Mario,1981,Video game,8.6
Propeller Mario Power-Up Pack,2020,13,Super Mario,1981,Video game,8.6
Cat Mario Power-Up Pack,2020,11,Super Mario,1981,Video game,8.6
Builder Mario Power-Up Pack,2020,10,Super Mario,1981,Video game,8.6
Nintendo Entertainment System,2020,2646,Super Mario,1981,Video game,8.6
Thwomp Drop Expansion Set,2020,393,Super Mario,1981,Video game,8.6
King Boo and the Haunted Yard Expansion Set,2020,431,Super Mario,1981,Video game,8.6
Master Your Adventure Maker Set,2021,366,Super Mario,1981,Video game,8.6
Chain Chomp Jungle Encounter Expansion Set,2021,160,Super Mario,1981,Video game,8.6
Piranha Plant Puzzling Challenge Expansion Set,2021,267,Super Mario,1981,Video game,8.6
Wiggler's Poison Swamp Expansion Set,2021,375,Super Mario,1981,Video game,8.6
Penguin Mario Power-Up Pack,2021,18,Super Mario,1981,Video game,8.6
Tanooki Mario Power-Up Pack,2021,13,Super Mario,1981,Video game,8.6
Character Pack Series 2 - Random Bag,2021,0,Super Mario,1981,Video game,8.6
Huckit Crab,2021,25,Super Mario,1981,Video game,8.6
Bone Goomba,2021,23,Super Mario,1981,Video game,8.6
Character Pack Series 2 - Complete Set,2021,0,Super Mario,1981,Video game,8.6
Spiny Cheep Cheep,2021,25,Super Mario,1981,Video game,8.6
Ninji,2021,24,Super Mario,1981,Video game,8.6
Foo,2021,33,Super Mario,1981,Video game,8.6
Parachute Goomba,2021,25,Super Mario,1981,Video game,8.6
Para-Beetle,2021,20,Super Mario,1981,Video game,8.6
Poison Mushroom,2021,14,Super Mario,1981,Video game,8.6
Thwimp,2021,27,Super Mario,1981,Video game,8.6
Fly Guy,2021,32,Super Mario,1981,Video game,8.6
Adventures with Luigi Starter Course,2021,280,Super Mario,1981,Video game,8.6
Boss Sumo Bro Topple Tower Expansion Set,2021,231,Super Mario,1981,Video game,8.6
Lakitu Sky World Expansion Set,2021,484,Super Mario,1981,Video game,8.6
Reznor Knockdown Expansion Set,2021,862,Super Mario,1981,Video game,8.6
Ewok Attack,2002,121,Star Wars,1977,Film,46.7
Bowser's Airship Expansion Set,2021,1152,Super Mario,1981,Video game,8.6
Frog Mario Power-Up Pack,2021,11,Super Mario,1981,Video game,8.6
Bee Mario Power-Up Pack,2021,13,Super Mario,1981,Video game,8.6
Character Pack Series 3 - Random Bag,2021,0,Super Mario,1981,Video game,8.6
1-Up Mushroom,2021,19,Super Mario,1981,Video game,8.6
Boo,2021,23,Super Mario,1981,Video game,8.6
Character Pack Series 3 - Complete Set,2021,0,Super Mario,1981,Video game,8.6
Amp,2021,28,Super Mario,1981,Video game,8.6
Scuttlebug,2021,35,Super Mario,1981,Video game,8.6
Parachute Bob-omb,2021,28,Super Mario,1981,Video game,8.6
Swoop,2021,30,Super Mario,1981,Video game,8.6
Galoomba,2021,18,Super Mario,1981,Video game,8.6
Crowber,2021,15,Super Mario,1981,Video game,8.6
Torpedo Ted,2021,21,Super Mario,1981,Video game,8.6
Bony Beetle,2021,13,Super Mario,1981,Video game,8.6
Super Mario 64 Question Mark Block,2021,2064,Super Mario,1981,Video game,8.6
Bowser Jr.'s Clown Car Expansion Set,2022,84,Super Mario,1981,Video game,8.6
Luigi's Mansion Lab and Poltergust Expansion Set,2022,179,Super Mario,1981,Video game,8.6
Dorrie's Beachfront Expansion Set,2022,229,Super Mario,1981,Video game,8.6
Luigi's Mansion Entryway Expansion Set,2022,504,Super Mario,1981,Video game,8.6
Big Urchin Beach Ride Expansion Set,2022,536,Super Mario,1981,Video game,8.6
X-wing Fighter,1999,271,Star Wars,1977,Film,46.7
Luigi's Mansion Haunt-and-Seek Expansion Set,2022,877,Super Mario,1981,Video game,8.6
Character Pack Series 4 - Random Bag,2022,0,Super Mario,1981,Video game,8.6
Freezie,2022,27,Super Mario,1981,Video game,8.6
Para-Biddybud,2022,31,Super Mario,1981,Video game,8.6
Character Pack Series 4 - Complete Series,2022,0,Super Mario,1981,Video game,8.6
Mechakoopa,2022,30,Super Mario,1981,Video game,8.6
Ant Trooper,2022,27,Super Mario,1981,Video game,8.6
Goombrat,2022,26,Super Mario,1981,Video game,8.6
Scaredy Rat,2022,28,Super Mario,1981,Video game,8.6
Bully,2022,35,Super Mario,1981,Video game,8.6
Baby Penguin,2022,29,Super Mario,1981,Video game,8.6
Stingby,2022,31,Super Mario,1981,Video game,8.6
Coin Coffer,2022,29,Super Mario,1981,Video game,8.6
Adventures with Peach Starter Course,2022,354,Super Mario,1981,Video game,8.6
Goomba's Shoe Expansion Set,2022,76,Super Mario,1981,Video game,8.6
Fuzzy Flippers Expansion Set,2022,154,Super Mario,1981,Video game,8.6
Yoshi's Gift House Expansion Set,2022,246,Super Mario,1981,Video game,8.6
Cat Peach Suit and Frozen Tower Expansion Set,2022,494,Super Mario,1981,Video game,8.6
Peach's Castle Expansion Set,2022,1216,Super Mario,1981,Video game,8.6
Big Spike's Cloudtop Challenge Expansion Set,2022,540,Super Mario,1981,Video game,8.6
Character Pack Series 5 - Random Pack,2022,0,Super Mario,1981,Video game,8.6
Red Yoshi,2022,62,Super Mario,1981,Video game,8.6
Baby Yoshi,2022,40,Super Mario,1981,Video game,8.6
Purple Toad,2022,38,Super Mario,1981,Video game,8.6
Hammer Bro,2022,48,Super Mario,1981,Video game,8.6
Blue Shy Guy,2022,47,Super Mario,1981,Video game,8.6
Toady,2022,45,Super Mario,1981,Video game,8.6
Nabbit,2022,51,Super Mario,1981,Video game,8.6
Waddlewing,2022,46,Super Mario,1981,Video game,8.6
Character Pack Series 5 - Complete Series,2022,0,Super Mario,1981,Video game,8.6
Naboo Fighter,1999,179,Star Wars,1977,Film,46.7
The Mighty Bowser,2022,2807,Super Mario,1981,Video game,8.6
Big Bad Island Expansion Set,2022,354,Super Mario,1981,Video game,8.6
Character Pack Series 6 - Random Pack,2023,0,Super Mario,1981,Video game,8.6
Blooper & Baby Bloopers,2023,46,Super Mario,1981,Video game,8.6
Character Pack Series 6 - Sealed Box,2023,0,Super Mario,1981,Video game,8.6
Green Toad,2023,49,Super Mario,1981,Video game,8.6
Ice Bro,2023,50,Super Mario,1981,Video game,8.6
Birdo,2023,52,Super Mario,1981,Video game,8.6
Bramball,2023,37,Super Mario,1981,Video game,8.6
Sumo Bro,2023,63,Super Mario,1981,Video game,8.6
Spike,2023,69,Super Mario,1981,Video game,8.6
Cat Goombas,2023,50,Super Mario,1981,Video game,8.6
Character Pack Series 6 - Complete Series,2023,0,Super Mario,1981,Video game,8.6
Conkdor's Noggin Bopper Expansion Set,2023,130,Super Mario,1981,Video game,8.6
Ice Mario Suit and Frozen World Expansion Set,2023,105,Super Mario,1981,Video game,8.6
Lava Wave Ride Expansion Set,2023,218,Super Mario,1981,Video game,8.6
Fliprus Snow Adventure Expansion Set,2023,567,Super Mario,1981,Video game,8.6
Creativity Toolbox Maker Set,2023,588,Super Mario,1981,Video game,8.6
Peach's Garden Balloon Ride Expansion Set,2023,453,Super Mario,1981,Video game,8.6
Rambi the Rhino Expansion Set,2023,106,Super Mario,1981,Video game,8.6
X-wing Fighter,2002,273,Star Wars,1977,Film,46.7
Dixie Kong's Jungle Jam Expansion Set,2023,174,Super Mario,1981,Video game,8.6
Picnic at Mario's House Expansion Set,2023,259,Super Mario,1981,Video game,8.6
Dry Bowser Castle Battle Expansion Set,2023,1321,Super Mario,1981,Video game,8.6
Donkey Kong's Tree House,2023,555,Super Mario,1981,Video game,8.6
Diddy Kong's Mine Cart Ride Expansion Set,2023,1157,Super Mario,1981,Video game,8.6
Piranha Plant,2023,540,Super Mario,1981,Video game,8.6
Larry's and Morton’s Airships Expansion Set,2023,1062,Super Mario,1981,Video game,8.6
Yoshis' Egg-cellent Forest Expansion Set,2024,0,Super Mario,1981,Video game,8.6
Nabbit at Toad's Shop,2024,0,Super Mario,1981,Video game,8.6
Penguin Family Snow Adventure Expansion Set,2024,0,Super Mario,1981,Video game,8.6
Jedi Starfighter,2002,139,Star Wars,1977,Film,46.7
Bowser's Muscle Car Expansion Set,2024,0,Super Mario,1981,Video game,8.6
Dorrie's Sunken Shipwreck Adventure Expansion Set,2024,0,Super Mario,1981,Video game,8.6
Slave I,2000,166,Star Wars,1977,Film,46.7
TIE Fighter,2001,171,Star Wars,1977,Film,46.7
TIE Fighter & Y-wing,1999,410,Star Wars,1977,Film,46.7
Sith Infiltrator,1999,244,Star Wars,1977,Film,46.7
TIE Fighter & Y-wing,2002,411,Star Wars,1977,Film,46.7
Jango Fett's Slave I,2002,371,Star Wars,1977,Film,46.7
Trade Federation AAT,2000,158,Star Wars,1977,Film,46.7
Star Wars Podracing Bucket,2000,293,Star Wars,1977,Film,46.7
Gungan Sub,1999,379,Star Wars,1977,Film,46.7
Republic Gunship,2002,697,Star Wars,1977,Film,46.7
Imperial Shuttle,2001,238,Star Wars,1977,Film,46.7
Mos Espa Podrace,1999,907,Star Wars,1977,Film,46.7
B-wing at Rebel Control Center,2000,346,Star Wars,1977,Film,46.7
Trade Federation MTT,2000,466,Star Wars,1977,Film,46.7
Watto's Junkyard,2001,449,Star Wars,1977,Film,46.7
Millennium Falcon,2000,671,Star Wars,1977,Film,46.7
Ambush in Cairo,2009,79,Indiana Jones,1981,Film,2.6
Chauchilla Cemetery Battle,2009,188,Indiana Jones,1981,Film,2.6
Venice Canal Chase,2009,420,Indiana Jones,1981,Film,2.6
Fighter Plane Attack,2009,384,Indiana Jones,1981,Film,2.6
Temple of Doom,2009,652,Indiana Jones,1981,Film,2.6
Final Duel I,2002,32,Star Wars,1977,Film,46.7
Final Duel II,2002,26,Star Wars,1977,Film,46.7
Jedi Defense I,2002,59,Star Wars,1977,Film,46.7
Jedi Defense II,2002,53,Star Wars,1977,Film,46.7
Clone Scout Walker,2005,109,Star Wars,1977,Film,46.7
Darth Vader Transformation,2005,59,Star Wars,1977,Film,46.7
Droid Tri-Fighter,2005,148,Star Wars,1977,Film,46.7
General Grievous Chase,2005,112,Star Wars,1977,Film,46.7
Jedi Starfighter & Vulture Droid,2005,203,Star Wars,1977,Film,46.7
Ultimate Lightsaber Duel,2005,280,Star Wars,1977,Film,46.7
Wookiee Attack,2005,368,Star Wars,1977,Film,46.7
ARC-170 Starfighter,2005,400,Star Wars,1977,Film,46.7
Wookiee Catamaran,2005,380,Star Wars,1977,Film,46.7
Clone Turbo Tank [Light-Up Mace Windu],2005,810,Star Wars,1977,Film,46.7
Clone Turbo Tank (with Non-Light-Up Mace Windu),2006,819,Star Wars,1977,Film,46.7
TIE Fighter and Y-wing,2004,415,Star Wars,1977,Film,46.7
TIE Fighter,2005,161,Star Wars,1977,Film,46.7
Imperial Inspection,2005,379,Star Wars,1977,Film,46.7
Ultimate Space Battle,2005,567,Star Wars,1977,Film,46.7
Dora's Treasure Island,2004,22,Dora the Explorer,2000,Animated series,15.8
Diego's Rescue Truck,2004,11,Dora the Explorer,2000,Animated series,15.8
Dora and Boots at Play Park,2004,31,Dora the Explorer,2000,Animated series,15.8
Dora and Diego's Animal Adventure,2004,41,Dora the Explorer,2000,Animated series,15.8
Clone Troopers vs. Droidekas,2013,124,Star Wars,1977,Film,46.7
Republic Troopers vs. Sith Troopers,2013,63,Star Wars,1977,Film,46.7
AT-RT,2013,222,Star Wars,1977,Film,46.7
A-wing Starfighter,2013,177,Star Wars,1977,Film,46.7
Z-95 Headhunter,2013,373,Star Wars,1977,Film,46.7
Rancor Pit,2013,381,Star Wars,1977,Film,46.7
Jedi Starfighter & Planet Kamino,2013,61,Star Wars,1977,Film,46.7
Republic Assault Ship & Planet Coruscant,2013,74,Star Wars,1977,Film,46.7
TIE Bomber & Asteroid Field,2013,60,Star Wars,1977,Film,46.7
Snowspeeder & Planet Hoth,2013,69,Star Wars,1977,Film,46.7
B-wing Starfighter & Planet Endor,2013,83,Star Wars,1977,Film,46.7
Tantive IV & Planet Alderaan,2013,102,Star Wars,1977,Film,46.7
BARC Speeder with Sidecar,2013,226,Star Wars,1977,Film,46.7
Umbaran MHC (Mobile Heavy Cannon),2013,493,Star Wars,1977,Film,46.7
Battle Of Hoth,2013,421,Star Wars,1977,Film,46.7
Corporate Alliance Tank Droid,2013,271,Star Wars,1977,Film,46.7
Homing Spider Droid,2013,295,Star Wars,1977,Film,46.7
Duel on Geonosis,2013,391,Star Wars,1977,Film,46.7
JEK-14's Stealth Starfighter,2013,550,Star Wars,1977,Film,46.7
AT-TE,2013,794,Star Wars,1977,Film,46.7
Jabba's Sail Barge,2013,850,Star Wars,1977,Film,46.7
