sets,year,theme_id,num_parts,parent_id,themes
Gears,1965,1,43,NA,Technic
Town Mini-Figures,1979,67,12,50,Classic Town
Castle 2 for 1 Bonus Offer,1987,199,0,186,Lion Knights
Space Mini-Figures,1979,143,12,126,Supplemental
Space Mini-Figures,1979,143,12,126,Supplemental
Space Mini-Figures,1979,143,2,126,Supplemental
Space Mini-Figures,1979,143,18,126,Supplemental
Castle Mini Figures,1979,189,15,186,Classic Castle
4.5V Samsonite Gears Motor Set,1965,1,3,NA,Technic
Legend of Chima: Corbeaux et Gorilles,2013,497,4,NA,Books
Master Mechanic Set,1966,366,403,365,Basic Set
Basic Building Set in Cardboard,1965,366,35,365,Basic Set
Discovery Set,1967,366,0,365,Basic Set
Special Offer,1985,67,0,50,Classic Town
Basic Building Set in Cardboard,1965,366,57,365,Basic Set
Pre-School Set,1973,505,18,504,Basic Set
Basic Building Set,1968,366,77,365,Basic Set
The Majestic Horse,2023,721,0,NA,Icons
Chain Links,1980,453,25,443,Technic
Basic Building Set,1968,366,145,365,Basic Set
Bulldozer Chain Links,1982,453,50,443,Technic
Extra Large Tires & Hubs,1982,453,4,443,Technic
Wheel Set,1966,366,183,365,Basic Set
Digger Bucket Assembly,1980,453,3,443,Technic
Basic Building Set,1968,366,110,365,Basic Set
Ninjago: Build Your Own Adventure,2015,497,74,NA,Books
Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70,NA,Books
Nursery Furniture,1979,652,7,504,Playhouse
Building Set,1973,505,29,504,Basic Set
The Race to Build It Board Game,1999,674,77,22,Early Creator
Doors and Fences,1980,443,10,NA,Service Packs
Living Room,1979,652,14,504,Playhouse
Farm Animals,1979,632,21,504,Town
Basic Building Set,1968,366,177,365,Basic Set
Propellers and Wheels,1980,443,13,NA,Service Packs
Pre-School Beginners Set,1964,369,24,365,Jumbo Bricks
Playhouse,1979,652,1,504,Playhouse
Jumbo Brick Pull Toy,1966,369,9,365,Jumbo Bricks
Basic Building Set,1968,366,225,365,Basic Set
Jumbo Bricks,1969,369,30,365,Jumbo Bricks
Farm,1979,632,66,504,Town
Assorted Clear Bricks & Plates,1969,371,37,365,Supplemental
Lighting Device Pack,1969,371,4,365,Supplemental
Hinges,1980,443,3,NA,Service Packs
Assorted Basic Bricks - Red,1966,371,50,365,Supplemental
Assorted Basic Bricks - White,1966,371,50,365,Supplemental
Assorted Basic Bricks - Blue,1966,371,50,365,Supplemental
Assorted Basic Bricks - Yellow,1966,371,50,365,Supplemental
Trees & Bushes,1966,371,25,365,Supplemental
Basic Building Set,1968,366,256,365,Basic Set
Large Wheels,1966,371,17,365,Supplemental
Small Wheels,1966,371,26,365,Supplemental
Assorted White Plates,1966,371,15,365,Supplemental
Jumbo Brick School Set,1968,369,60,365,Jumbo Bricks
Motor Wires,1980,453,6,443,Technic
Five Large Base Plates - Green,1966,371,5,365,Supplemental
Five Large Base Plates - White,1966,371,5,365,Supplemental
Five Large Base Plates - Blue,1966,371,5,365,Supplemental
Ducks,1978,505,18,504,Basic Set
Two Garage Door Kits,1969,371,6,365,Supplemental
Basic Building Set,1968,366,407,365,Basic Set
Battery Box,1980,453,1,443,Technic
Block Box,1979,505,24,504,Basic Set
Pre-School Set,1976,505,20,504,Basic Set
Pre-School Set,1975,505,17,504,Basic Set
The Ultimate LEGO Book,1999,497,0,NA,Books
Atlantis: Brickmaster,2010,497,157,NA,Books
Pirates: Brickmaster,2009,497,162,NA,Books
Ninjago: Brickmaster,2011,497,154,NA,Books
Harry Potter: Characters of the Magical World,2012,497,4,NA,Books
Pre-School Set,1975,505,21,504,Basic Set
Roadway Base Plate,1970,371,1,365,Supplemental
Basic Building Set with Train,1967,366,712,365,Basic Set
Ambassador Set,1967,366,712,365,Basic Set
Police Station,1976,505,24,504,Basic Set
4.5V Replacement Motor,1982,453,1,443,Technic
Legoville,1976,505,63,504,Basic Set
Racer,1977,505,4,504,Basic Set
Tub Boat,1978,632,3,504,Town
Super Set,1969,469,615,465,Basic Set
Trees & Flowers,1981,443,22,NA,Service Packs
Guarded Inn,2001,199,256,186,Lion Knights
Jurassic World - PC DVD,2015,742,0,501,Video Games and Accessories
Mosaic Set,1985,516,203,507,Duplo and Explore
Metroliner,2001,233,787,NA,Train
Railroad Club Car,2001,233,293,NA,Train
Harry Potter: Years 5-7 - PS Vita,2012,742,0,501,Video Games and Accessories
1 x 2 Sand Red Bricks,2001,254,100,NA,Bulk Bricks
Batman the Videogame - PSP,2008,742,0,501,Video Games and Accessories
2 x 2 Sand Red Bricks,2001,254,100,NA,Bulk Bricks
Marvel Super Heroes - PS4,2013,742,0,501,Video Games and Accessories
2 x 4 Sand Red Bricks,2001,254,50,NA,Bulk Bricks
Jurassic World - Xbox One,2015,742,0,501,Video Games and Accessories
Jurassic World - PS Vita‎,2015,742,0,501,Video Games and Accessories
Marvel Avengers - Xbox One,2016,742,0,501,Video Games and Accessories
Marvel Avengers - PS4,2016,742,0,501,Video Games and Accessories
Marvel Avengers - PS Vita‎,2016,742,0,501,Video Games and Accessories
Marvel Super Heroes - Xbox One,2013,742,0,501,Video Games and Accessories
Marvel Avengers - PC,2016,742,0,501,Video Games and Accessories
Star Wars: The Force Awakens - 3DS,2016,742,0,501,Video Games and Accessories
Star Wars: The Force Awakens - PS Vita,2016,742,0,501,Video Games and Accessories
Star Wars: The Force Awakens Deluxe Edition - PS3,2016,742,0,501,Video Games and Accessories
Star Wars: The Force Awakens - PS3,2016,742,0,501,Video Games and Accessories
1 x 6 Sand Red Bricks,2001,254,50,NA,Bulk Bricks
Harry Potter Collection - PS4,2016,742,0,501,Video Games and Accessories
Marvel Super Heroes 2 - Xbox One,2017,742,0,501,Video Games and Accessories
Marvel Super Heroes 2 - PS4,2017,742,0,501,Video Games and Accessories
Marvel Super Heroes 2 - Nintendo Switch,2017,742,0,501,Video Games and Accessories
The Incredibles - Nintendo Switch,2019,742,0,501,Video Games and Accessories
The Incredibles - PS4,2019,742,0,501,Video Games and Accessories
DC Super-Villains - Nintendo Switch,2018,742,0,501,Video Games and Accessories
DC Super-Villains - PS4,2018,742,0,501,Video Games and Accessories
The Incredibles - Xbox One,2019,742,0,501,Video Games and Accessories
2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25,NA,Bulk Bricks
Harry Potter Collection - Xbox One,2016,742,0,501,Video Games and Accessories
Harry Potter Collection - Nintendo Switch,2016,742,0,501,Video Games and Accessories
The LEGO Movie 2 Videogame - Nintendo Switch,2019,742,0,501,Video Games and Accessories
The LEGO Movie 2 Videogame - PS4,2019,742,0,501,Video Games and Accessories
The LEGO Movie 2 Videogame - Xbox One,2019,742,0,501,Video Games and Accessories
Jurassic World - Nintendo Switch,2015,742,0,501,Video Games and Accessories
2 x 4 Roof Tile Sand Red,2001,254,50,NA,Bulk Bricks
Assorted Blue Bricks,2001,254,62,NA,Bulk Bricks
4.5V Motor with Wheels (Small Version),1966,235,16,233,4.5V
Assorted Yellow Bricks,2003,254,62,NA,Bulk Bricks
Assorted Blue Plates,2001,254,42,NA,Bulk Bricks
Assorted Yellow Plates,2001,254,42,NA,Bulk Bricks
Open Freight Wagon,2001,236,121,233,9V
Caboose,2001,236,170,233,9V
Passenger Wagon,2001,236,194,233,9V
Tanker,2001,236,128,233,9V
Hopper Wagon,2001,236,228,233,9V
Darth Maul,2001,171,1868,158,Ultimate Collector Series
Rebel Blockade Runner,2001,171,1748,158,Ultimate Collector Series
4.5V Motor with Wheels (Large Version),1966,235,27,233,4.5V
Santa Fe Super Chief,2002,236,435,233,9V
Santa Fe Super Chief - Limited Edition,2002,236,441,233,9V
U.S.S. Constellation,2003,404,975,NA,Hobby Sets
"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,236,411,233,9V
Master Builder Set,2002,324,111,NA,Bionicle
Red Baron,2002,673,670,22,Creator Expert
Santa Fe Cars - Set I (mail or baggage car),2002,236,326,233,9V
Naboo Starfighter,2002,171,188,158,Ultimate Collector Series
Train Engine Shed,2003,105,670,50,World City
Lunar Lander,2003,387,469,NA,Discovery
Imperial Star Destroyer,2002,171,3116,158,Ultimate Collector Series
Pizza To Go,2002,50,151,NA,Town
Breezeway Cafe,2002,50,195,NA,Town
Black Falcon's Fortress,2002,187,430,186,Black Falcons
Black Seas Barracuda,2002,148,916,147,Pirates I
Main Street,2003,50,640,NA,Town
American Flag,2003,206,35,NA,Seasonal
2x2 Electrical Plate,2002,254,1,NA,Bulk Bricks
Windows and Doors,2002,254,44,NA,Bulk Bricks
Pillars and Beams,2002,254,13,NA,Bulk Bricks
Brown Tiles,2002,254,100,NA,Bulk Bricks
Light Gray Arches,2002,254,36,NA,Bulk Bricks
Small Wheels and Axles,2002,254,61,NA,Bulk Bricks
Large Wheels and Axles,2002,254,31,NA,Bulk Bricks
Gray Fences,2002,254,34,NA,Bulk Bricks
Transparent Bricks,2002,254,50,NA,Bulk Bricks
Intelligent Locomotive (Explore),2003,634,7,504,Trains
Black Slopes 33,2003,254,44,NA,Bulk Bricks
Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,NA,Bulk Bricks
Black Slopes 33 3 x 1 and 3 x 3,2003,254,50,NA,Bulk Bricks
White Plates 2 x n,2002,254,56,NA,Bulk Bricks
Black Plates 2 x n,2002,254,56,NA,Bulk Bricks
Red Plates 2 x n,2002,254,56,NA,Bulk Bricks
Dark Green Plates 2 x n,2002,254,56,NA,Bulk Bricks
Light Gray Plates 2 x n,2002,254,56,NA,Bulk Bricks
Black Plates 1 x n,2002,254,84,NA,Bulk Bricks
Red Plates 1 x n,2002,254,84,NA,Bulk Bricks
Green Plates 1 x n,2002,254,84,NA,Bulk Bricks
Light Gray Plates 1 x n,2002,254,84,NA,Bulk Bricks
White Plates 1 x n,2002,254,84,NA,Bulk Bricks
Castle Accessories,2002,255,41,254,Castle
Mini-Fig Headgear,2002,254,53,NA,Bulk Bricks
Santa Claus,2002,227,39,206,Christmas
Christmas Tree,2002,227,33,206,Christmas
Reindeer,2002,227,26,206,Christmas
Mr. Bunny,2003,229,25,206,Easter
TECHNIC Beams,2003,256,56,254,Technic
Bushes,2003,256,130,254,Technic
Cross Axles,2003,256,68,254,Technic
Spider-Man Action Pack,2002,706,25,696,Spider-Man
TECHNIC Gear Wheels,2002,256,40,254,Technic
TECHNIC Motor,2003,256,55,254,Technic
Train Connection Wire,2003,257,1,254,Train
Snowman,2003,227,42,206,Christmas
Angel,2003,227,33,206,Christmas
Birthday Pack Heart,2004,500,70,NA,Clikits
Birthday Pack Daisy,2004,500,70,NA,Clikits
Birthday Pack Star,2004,500,70,NA,Clikits
90 Years of Play Metal Key Chain,2022,503,0,501,Key Chain
Turkey,2003,231,54,206,Thanksgiving
100 LEGO Stores North America,2019,408,5,NA,LEGO Brand Store
Universal Building Set,1976,469,129,465,Basic Set
Snowflake,2006,227,107,206,Christmas
4.5V Battery Case,1969,235,1,233,4.5V
Number/Symbol Blocks,1976,516,100,507,Duplo and Explore
Foliferous Tree,2001,254,10,NA,Bulk Bricks
Bush,2001,254,25,NA,Bulk Bricks
Cypress Trees,2001,254,5,NA,Bulk Bricks
2 x 2 Sand Red Roof Tiles,2001,254,100,NA,Bulk Bricks
Jumper Bricks,2001,254,80,NA,Bulk Bricks
Accessories Heart,2004,500,50,NA,Clikits
Accessories Daisy,2004,500,50,NA,Clikits
Accessories Star,2004,500,50,NA,Clikits
Imagination Set 1,1971,366,298,365,Basic Set
Mosaic Set,1985,516,34,507,Duplo and Explore
NBA Basketball Teams,2003,459,20,458,Basketball
Cloud City,2003,171,707,158,Ultimate Collector Series
Wright Flyer,2003,673,663,22,Creator Expert
NHL Action Set with Stickers,2003,461,59,458,Hockey
Train Level Crossing,2003,105,327,50,World City
Train Level Crossing,2005,105,327,50,World City
Rebel Snowspeeder,2003,171,1457,158,Ultimate Collector Series
4.5V Battery Case,1966,235,1,233,4.5V
Numbers (6 Symbols),1985,516,0,507,Duplo and Explore
TIE Fighter Collection,2004,171,685,158,Ultimate Collector Series
Motorized Hogwarts Express,2004,246,713,NA,Harry Potter
Burlington Northern Santa Fe Locomotive,2004,236,409,233,9V
Y-wing Attack Starfighter,2004,171,1490,158,Ultimate Collector Series
Holiday Decoration Kit,2004,500,282,NA,Clikits
Universal Joints,1982,453,16,443,Technic
Mosaic Set - Domestic Animals,1985,516,80,507,Duplo and Explore
Death Star II,2005,171,3461,158,Ultimate Collector Series
Sandcrawler,2005,171,1682,158,Ultimate Collector Series
Assorted Light Gray Bricks,2004,254,120,NA,Bulk Bricks
Assorted Dark Gray Bricks,2004,254,62,NA,Bulk Bricks
Assorted Brown Bricks,2004,254,62,NA,Bulk Bricks
Assorted Light Gray Plates,2004,254,84,NA,Bulk Bricks
Assorted Dark Gray Plates,2004,254,42,NA,Bulk Bricks
Assorted Brown Plates,2004,254,42,NA,Bulk Bricks
Letters Large,1982,516,192,507,Duplo and Explore
Hot Rod,2004,278,422,NA,Model Team
Maersk Sealand Container Ship 2004 Edition,2004,673,988,22,Creator Expert
Maersk Sealand Container Ship 2005 Edition,2005,673,988,22,Creator Expert
Maersk Line Container Ship 2006 Edition,2006,673,988,22,Creator Expert
Electric Train Motor 9V (My Own Train),2002,236,3,233,9V
Maersk Line Container Ship 2010 Edition,2010,673,990,22,Creator Expert
LEGO Truck,2004,50,105,NA,Town
High Speed Train Locomotive,2004,105,143,50,World City
High Speed Train Car,2004,105,161,50,World City
City Airport,2004,53,914,52,Airport
City Airport (Full Size Image Box),2004,50,914,NA,Town
Black Ridge Roof Tiles,2004,254,48,NA,Bulk Bricks
Letter Bricks for Wall Board,1985,516,150,507,Duplo and Explore
Black Roof Tiles,2004,254,76,NA,Bulk Bricks
Red Ridge Tiles,2004,254,48,NA,Bulk Bricks
Red Roof Tiles,2004,254,76,NA,Bulk Bricks
Elf Boy,2004,227,27,206,Christmas
Elf Girl,2004,227,31,206,Christmas
Brickmaster Welcome Kit,2004,301,182,NA,Other
Mrs. Bunny,2005,229,64,206,Easter
Chicken & Chicks,2005,229,61,206,Easter
TTX Intermodal Double-Stack Car,2005,236,366,233,9V
Letter Bricks for Wall Board,1976,516,150,507,Duplo and Explore
Holiday Train,2006,673,969,22,Creator Expert
Imperial AT-ST,2006,171,1069,158,Ultimate Collector Series
Vader's TIE Advanced,2006,171,1212,158,Ultimate Collector Series
Royal King's Castle,2006,198,877,186,Knights Kingdom II
Boeing 787 Dreamliner,2006,673,1197,22,Creator Expert
Motorized Walking AT-AT,2007,171,1137,158,Ultimate Collector Series
Millennium Falcon,2007,171,5198,158,Ultimate Collector Series
Letters,1985,516,0,507,Duplo and Explore
Eiffel Tower 1:300,2007,673,3428,22,Creator Expert
Cafe Corner,2007,155,2058,NA,Modular Buildings
Hobby Train,2007,397,1080,NA,Factory
Town Plan,2008,104,2013,50,Town Plan
Green Grocer,2008,155,2358,NA,Modular Buildings
General Grievous,2008,171,1085,158,Ultimate Collector Series
Volkswagen Beetle,2008,673,1626,22,Creator Expert
Death Star,2008,171,3809,158,Ultimate Collector Series
Taj Mahal,2008,673,5922,22,Creator Expert
Market Street,2007,155,1250,NA,Modular Buildings
Mosaic Set - Lion,1986,516,18,507,Duplo and Explore
Star Justice,2008,397,893,NA,Factory
Space Skulls,2008,397,957,NA,Factory
Medieval Market Village,2009,193,1619,186,Fantasy Era
Emerald Night,2009,673,1089,22,Creator Expert
Republic Dropship with AT-OT,2009,171,1758,158,Ultimate Collector Series
Grand Carousel,2009,673,3261,22,Creator Expert
Fire Brigade,2009,155,2236,NA,Modular Buildings
Tantive IV,2009,171,1408,158,Ultimate Collector Series
Winter Toy Shop,2009,227,815,206,Christmas
Tree and Signs,1980,443,7,NA,Service Packs
Custom Car Garage,2008,397,894,NA,Factory
Basic Bricks,1985,516,86,507,Duplo and Explore
Takutanuva,2003,324,1,NA,Bionicle
Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,324,3,NA,Bionicle
Ultimate Dume,2004,324,0,NA,Bionicle
Voporak,2005,324,0,NA,Bionicle
Vezon & Kardas,2006,324,0,NA,Bionicle
Locomotive,2002,236,234,233,9V
4.5V Motor Set,1968,235,24,233,4.5V
Imperial Flagship,2010,153,1668,147,Pirates II
Basic Vehicles,1985,516,93,507,Duplo and Explore
Grand Emporium,2010,155,2187,NA,Modular Buildings
Imperial Shuttle,2010,171,2503,158,Ultimate Collector Series
Shuttle Adventure,2010,673,1204,22,Creator Expert
Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29,NA,Service Packs
Tower Bridge,2010,673,4295,22,Creator Expert
Obi-Wan's Jedi Starfighter,2010,171,676,158,Ultimate Collector Series
Winter Village Bakery,2010,227,687,206,Christmas
Diagon Alley,2011,246,2029,NA,Harry Potter
Pet Shop,2011,155,2034,NA,Modular Buildings
Maersk Container Train,2011,673,1233,22,Creator Expert
Imagination Basic Set 2,1971,366,0,365,Basic Set
Volkswagen T1 Camper Van,2011,673,1332,22,Creator Expert
Mini Basic Bricks,1985,516,30,507,Duplo and Explore
Super Star Destroyer,2011,171,3152,158,Ultimate Collector Series
Winter Village Post Office,2011,227,822,206,Christmas
Kingdoms Joust,2012,196,1575,186,Kingdoms
Town Hall,2012,155,2772,NA,Modular Buildings
R2-D2,2012,171,2127,158,Ultimate Collector Series
Sopwith Camel,2012,673,879,22,Creator Expert
B-wing Starfighter,2012,171,1487,158,Ultimate Collector Series
Haunted House,2012,558,2064,NA,Monster Fighters
Winter Village Cottage,2012,227,1492,206,Christmas
Super Value Set,1969,411,102,NA,Legoland
Mini Modulars,2012,156,1356,155,Mini
Red Baseplate,1985,516,1,507,Duplo and Explore
Shuttle Expedition,2011,673,1230,22,Creator Expert
Palace Cinema,2013,155,2194,NA,Modular Buildings
Horizon Express,2013,673,1351,22,Creator Expert
Sydney Opera House,2013,673,2989,22,Creator Expert
Winter Village Market,2013,228,1261,227,Creator
Ewok Village,2013,171,1990,158,Ultimate Collector Series
The Tower of Orthanc,2013,566,2362,561,The Lord of the Rings
Red Five X-Wing Starfighter,2013,171,1558,158,Ultimate Collector Series
Animals,1985,516,32,507,Duplo and Explore
Maersk Line Triple-E,2014,673,1518,22,Creator Expert
MINI Cooper,2014,673,1077,22,Creator Expert
MINI Cooper (Re-Issue),2015,673,1077,22,Creator Expert
Parisian Restaurant,2014,155,2450,NA,Modular Buildings
Fairground Mixer,2014,673,1745,22,Creator Expert
Santa's Workshop,2014,228,884,227,Creator
Adventurers Value Pack,2001,297,1,296,Desert
Detective's Office,2015,155,2262,NA,Modular Buildings
Ferris Wheel,2015,673,2464,22,Creator Expert
Ferrari F40,2015,673,1158,22,Creator Expert
Winter Toy Shop,2015,228,898,227,Creator
Year Of The Snake,2013,206,243,NA,Seasonal
Figures and Furniture,1985,516,35,507,Duplo and Explore
Brick Bank,2016,155,2384,NA,Modular Buildings
Volkswagen Beetle,2016,673,1167,22,Creator Expert
Big Ben,2016,673,4167,22,Creator Expert
Winter Holiday Train,2016,228,735,227,Creator
Assembly Square,2017,155,4002,NA,Modular Buildings
Taj Mahal,2017,673,5923,22,Creator Expert
Carousel,2017,673,2670,22,Creator Expert
London Bus,2017,673,1686,22,Creator Expert
Winter Village Station,2017,228,902,227,Creator
Downtown Diner,2018,155,2480,NA,Modular Buildings
Playhouse Boxes,1985,516,2,507,Duplo and Explore
Roller Coaster,2018,673,4124,22,Creator Expert
James Bond Aston Martin DB5,2018,673,1297,22,Creator Expert
Winter Village Fire Station,2018,228,1166,227,Creator
Corner Garage,2019,155,2569,NA,Modular Buildings
Ford Mustang,2019,673,1471,22,Creator Expert
NASA Apollo 11 Lunar Lander,2019,673,1087,22,Creator Expert
Gingerbread House,2019,228,1477,227,Creator
Vestas Wind Turbine,2018,673,834,22,Creator Expert
Harley-Davidson Fat Boy,2019,673,1023,22,Creator Expert
Bookshop,2020,155,2504,NA,Modular Buildings
Vehicles,1985,516,32,507,Duplo and Explore
Fiat 500,2020,673,960,22,Creator Expert
Old Trafford - Manchester United,2020,673,3898,22,Creator Expert
Haunted House,2020,721,3232,NA,Icons
ECTO-1,2020,721,2352,NA,Icons
Elf Club House,2020,227,1197,206,Christmas
Colosseum,2020,721,9036,NA,Icons
Crocodile Locomotive,2020,721,1279,NA,Icons
Police Station,2021,155,2924,NA,Modular Buildings
Volkswagen T2 Camper Van,2021,721,2207,NA,Icons
Flower Bouquet,2021,721,756,NA,Icons
6 x 12 Base Bricks,1985,516,6,507,Duplo and Explore
Bonsai,2021,721,878,NA,Icons
adidas Originals Superstar,2021,721,731,NA,Icons
Footshop x Adidas Originals Superstar 'Blueprinting' Bundle,2021,721,0,NA,Icons
NASA Space Shuttle Discovery,2021,721,2355,NA,Icons
Camp Nou - FC Barcelona,2021,721,5509,NA,Icons
Compass Sensor for Mindstorms NXT,2011,259,1,258,NXT
Intelligent NXT Brick (Black),2009,259,1,258,NXT
Bird of Paradise,2021,721,1173,NA,Icons
Pickup Truck,2021,721,1678,NA,Icons
Milk Delivery Truck - Tine,1999,50,91,NA,Town
Queer Eye: The Fab 5 Loft,2021,721,974,NA,Icons
Friends - The Apartments,2021,721,2048,NA,Icons
Santa's Visit,2021,227,1445,206,Christmas
Titanic,2021,721,9092,NA,Icons
Porsche 911 Turbo & 911 Targa,2021,721,1458,NA,Icons
Boutique Hotel,2022,155,3068,NA,Modular Buildings
Vespa 125,2022,721,1107,NA,Icons
Real Madrid – Santiago Bernabéu Stadium,2022,721,5876,NA,Icons
Front-End Loader,1970,416,64,411,Construction
Front-End Loader,1970,416,56,411,Construction
Back to the Future Time Machine,2022,721,1872,NA,Icons
TECHNIC I: Simple Machines Set,1985,1,210,NA,Technic
Optimus Prime,2022,721,1508,NA,Icons
Loop Coaster,2022,721,3756,NA,Icons
Chevrolet Camaro Z/28 1969,2022,721,1456,NA,Icons
Lion Knights' Castle,2022,721,4515,NA,Icons
Atari 2600,2022,721,2532,NA,Icons
Eiffel Tower,2022,721,10001,NA,Icons
Holiday Main Street,2022,227,1516,206,Christmas
Succulents,2022,721,771,NA,Icons
4.5V Motor Set with Rubber Tracks,1969,473,24,465,Supplemental
Building Cards - 1030,1983,532,20,529,Supplemental
Orchid,2022,721,608,NA,Icons
Jazz Club,2023,155,2900,NA,Modular Buildings
Wildflower Bouquet,2023,721,939,NA,Icons
Dried Flower Centerpiece,2023,721,812,NA,Icons
Tranquil Garden,2023,721,1363,NA,Icons
Lord of the Rings: Rivendell,2023,721,6182,NA,Icons
Land Rover Classic Defender 90,2023,721,2344,NA,Icons
Concorde,2023,721,2083,NA,Icons
Imagination Set 3,1971,366,568,365,Basic Set
Eldorado Fortress,2023,721,2509,NA,Icons
TECHNIC II Set {4.5v},1985,507,280,NA,Educational and Dacta
Corvette,2023,721,1210,NA,Icons
PAC-MAN Arcade,2023,721,2651,NA,Icons
Alpine Lodge,2023,227,1517,206,Christmas
Natural History Museum,2023,155,0,NA,Modular Buildings
Dune Atreides Royal Ornithopter,2024,721,0,NA,Icons
Tiny Plants,2023,721,0,NA,Icons
Building Cards - 1032,1985,532,20,529,Supplemental
Teachers Resource Set,1985,532,1534,529,Supplemental
ERBIE the Robo-Car,1985,1,120,NA,Technic
Manual Control Set 1,1986,1,39,NA,Technic
Farm (with Picture Book),1991,516,88,507,Duplo and Explore
Rainbow Fun,2018,621,85,NA,Classic
Farm Set,1986,516,88,507,Duplo and Explore
Fun Future,2018,621,186,NA,Classic
Universal Building Set,1976,504,126,NA,Duplo
World Fun,2018,621,295,NA,Classic
Ocean's Bottom,2018,621,579,NA,Classic
Mission to Mars,2018,621,871,NA,Classic
Replacement 4.5V Motor,1970,235,1,233,4.5V
Harbor,1986,516,77,507,Duplo and Explore
Learn About Chinese Culture,2023,504,124,NA,Duplo
Universal Building Set,1980,516,126,507,Duplo and Explore
Community People,1986,516,12,507,Duplo and Explore
Universal Set for Boys and Girls from 1 1/2 Years,1976,516,0,507,Duplo and Explore
Farm Animals (and Fences),1986,516,30,507,Duplo and Explore
Community Vehicles,1986,516,35,507,Duplo and Explore
Industrial Elements,1986,516,20,507,Duplo and Explore
Educational LEGO Building Set,1976,511,683,507,Building Set with People
Train Set,1985,516,65,507,Duplo and Explore
Extra Track,1986,516,12,507,Duplo and Explore
Bridge and Crossing Tracks,1986,516,15,507,Duplo and Explore
Ships,1985,510,238,507,Boat
Galaxy Explorer,2022,721,1254,NA,Icons
Horse Stable,2013,632,44,504,Town
Basic Pack,1986,534,381,507,Universal Building Set
Zoo Friends,2013,632,5,504,Town
Zoo Bus,2013,632,19,504,Town
Circus Show,2013,632,25,504,Town
My First Circus,2013,632,62,504,Town
Play House,2013,652,83,504,Playhouse
Train Accessory Set,2013,634,24,504,Trains
My First Train Set,2013,634,52,504,Trains
Deluxe Train Set,2013,634,134,504,Trains
Dusty and Chug,2013,627,16,504,Disney Planes
Canada Post Truck,1984,67,65,50,Classic Town
Ripslinger's Air Race,2013,627,40,504,Disney Planes
Skipper's Flight School,2013,627,53,504,Disney Planes
Jake's Treasure Hunt,2013,638,22,504,Jake and the Never Land Pirates
Never Land Hideout,2013,638,37,504,Jake and the Never Land Pirates
Jake's Pirate Ship Bucky,2013,638,56,504,Jake and the Never Land Pirates
Ariel's Undersea Castle,2013,640,39,504,Disney Princess
Ariel's Magical Boat Ride,2012,640,30,504,Disney Princess
My First Garden,2013,632,38,504,Town
My First Construction Site,2013,632,43,504,Town
Garbage Truck,2013,632,16,504,Town
Building Set,1973,469,150,465,Basic Set
Big Front Loader,2013,632,12,504,Town
Baby Calf,2014,632,9,504,Town
Farm Animals,2014,632,12,504,Town
Farm Tractor,2014,632,29,504,Town
Big Farm,2014,632,120,504,Town
Peter Pan's Visit,2014,638,39,504,Jake and the Never Land Pirates
Ambulance,2014,632,14,504,Town
School Bus,2014,632,26,504,Town
Truck,2014,632,16,504,Town
Imagination Set 5,1971,366,917,365,Basic Set
Community Buildings,1984,533,899,507,Town
Mickey Mouse and Friends,2012,641,65,504,Disney's Mickey Mouse
My First Police Set,2014,632,39,504,Town
Fire and Rescue Team,2014,627,30,504,Disney Planes
Beach Racing,2014,638,37,504,Jake and the Never Land Pirates
Stena Line Ferry,1999,471,212,598,Ferries
Sleeping Beauty's Fairy Tale,2014,640,55,504,Disney Princess
Superman Rescue,2014,653,19,504,DC Comics
The Joker Challenge,2014,653,40,504,DC Comics
Batcave Adventure,2014,653,59,504,DC Comics
My First Shop,2014,632,39,504,Town
Circus Transport,2013,632,9,504,Town
Mini Basic Pack,1983,534,150,507,Universal Building Set
Creative Cars,2013,632,41,504,Town
Toddler Build and Play Cubes,2013,505,17,504,Basic Set
Toddler Build and Pull Along,2013,505,15,504,Basic Set
Creative Bucket,2013,505,65,504,Basic Set
Creative Chest,2013,505,106,504,Basic Set
Giant Tower,2013,505,200,504,Basic Set
Number Train,2013,504,31,NA,Duplo
A Fairy Tale,2013,505,16,504,Basic Set
Peekaboo Jungle,2013,505,14,504,Basic Set
Basic School Pack - 773 elements with teacher's manual,1985,534,785,507,Universal Building Set
Toddler Starter Building Set,2013,505,37,504,Basic Set
Creative Suitcase,2014,505,135,504,Basic Set
Creative Picnic,2014,504,53,NA,Duplo
Toddler Build and Boat Fun,2014,504,18,NA,Duplo
Knight Tournament,2014,647,16,504,Castle
Treasure Attack,2014,647,46,504,Castle
All-in-One-Gift-Set,2014,505,30,504,Basic Set
All-in-One-Pink-Box-of-Fun,2014,505,65,504,Basic Set
All-in-One-Box-of-Fun,2014,505,65,504,Basic Set
Creative Animals,2014,504,25,NA,Duplo
Creative Ice Cream,2014,504,24,NA,Duplo
Creative Building Cube,2014,505,75,504,Basic Set
Zoo Care,2014,632,9,504,Town
Big Royal Castle,2014,647,135,504,Castle
Clubhouse Café,2014,641,17,504,Disney's Mickey Mouse
