media_franchise,count
Star Wars,225
Super Mario,147
Marvel,90
Minecraft,77
Harry Potter,72
Jurassic World,69
Disney Princess,59
Batman,58
Spider-Man,55
Avengers,49
Frozen,23
DC Comics,21
Looney Tunes,16
The Muppets,16
Avatar,9
Minions,9
Toy Story,8
Disney's Mickey Mouse,5
Sonic The Hedgehog,5
Guardians of the Galaxy,4
Indiana Jones,3
Iron Man,3
Cars,2
