media_franchise,count
Super Mario,46
Star Wars,37
Marvel,30
Harry Potter,17
Disney Princess,16
Looney Tunes,16
Batman,15
Spider-Man,14
Avengers,12
Minecraft,11
Jurassic World,10
Minions,7
Frozen,4
Disney's Mickey Mouse,2
Iron Man,1
